Thu Oct 28 2021 10:43:35 GMT-0400 (Eastern Daylight Time) - Run Time: 3876ms

Cross Tabulation Query Form - Person - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: 2006 GTA zone of employment - gta06_emp
Table: Employment status of person - emp_stat


Filters:
Regional municipality of household - region_hhld Not In 98, 
and
Employment status of person - emp_stat In F, 

Persons 2016
ROW : gta06_hhld
COLUMN : gta06_emp

TABLE    : emp_stat (Full time)

  gta06_hhld   gta06_emp      total
           1          21         17
           1          35         14
           1          36          9
           1          37         14
           1          49          6
           1          55         47
           1          56         36
           1          57         85
           1          65         32
           1          69          9
           1          77         20
           1          89          7
           1         210         23
           1         211         14
           1         212         11
           1         220         32
           1         223         13
           1         235         13
           1         236         14
           1         243         10
           1         259         25
           1         260         12
           1         270         23
           1         421          8
           1         443          8
           1         511         15
           1         525         10
           1         528         11
           1         613         11
           1        2108         10
           1        2271         15
           1        3701         17
           1        3709         17
           1        8888         65
           4          66         24
           5           3         15
           5          65         15
           5          78          8
           5         270         15
           5         391         15
           5         454         22
           5         491         19
           5        3635         15
          14          16         14
          14          26         15
          14          33         14
          14          36         35
          14          37         34
          14          45         14
          14          50         14
          14          51         17
          14          52         19
          14          55         30
          14          57         40
          14          60         18
          14          66         50
          14          89         19
          14         211         36
          14         219         13
          14         221         14
          14         231         14
          14         313         17
          14         601         19
          14        1123         12
          14        2271         22
          14        2400         17
          14        3701         22
          14        4019         14
          14        8888        134
          15          14         13
          15          22         14
          15          25         27
          15          35         12
          15          36         68
          15          38         19
          15          39         19
          15          40         13
          15          41         26
          15          43         58
          15          44         12
          15          45         10
          15          47         14
          15          49         44
          15          50         29
          15          51         63
          15          52         35
          15          53         40
          15          54         28
          15          55         27
          15          56         27
          15          57        112
          15          59         14
          15          60         14
          15          63         24
          15          65         27
          15          66        124
          15          67         25
          15          68         14
          15          69         29
          15          75         12
          15          77         26
          15          89         49
          15          90         14
          15         107         10
          15         159         17
          15         211         17
          15         224         12
          15         231         46
          15         243         24
          15         264         14
          15         268         14
          15         290         18
          15         293          8
          15         368         14
          15         463         15
          15         490         19
          15        1092         31
          15        2084         14
          15        2140         24
          15        2373         30
          15        2374         17
          15        2394         30
          15        2395         17
          15        3343         14
          15        3605         24
          15        3618         15
          15        3632         10
          15        3704         12
          15        4078         10
          15        8057         19
          15        8888        119
          16           4         16
          16          15          3
          16          16          9
          16          17         12
          16          21         32
          16          25         25
          16          26          3
          16          28         12
          16          35         22
          16          36          8
          16          38         17
          16          39         21
          16          40         18
          16          44         25
          16          45         26
          16          51         33
          16          52         12
          16          53          7
          16          54        111
          16          55         94
          16          56         21
          16          57         33
          16          59          9
          16          60         21
          16          63         12
          16          65         53
          16          66         13
          16          67         31
          16          68         17
          16          70         57
          16          77          7
          16          78         21
          16          81         10
          16          89         13
          16          90         34
          16         100         28
          16         105         17
          16         110         10
          16         118         13
          16         203         18
          16         205         12
          16         211          8
          16         216         18
          16         220         21
          16         221         12
          16         270         19
          16         278         10
          16         372         12
          16         394         14
          16         415         14
          16         429          7
          16         443         12
          16         452         12
          16         473         10
          16         484         11
          16         491          3
          16         566          9
          16        1069          3
          16        2253         12
          16        2254         12
          16        2370         12
          16        2394         12
          16        2568          9
          16        3612          7
          16        3633         34
          16        3710         21
          16        3847         21
          16        8888        137
          17           2          5
          17           4         21
          17           5         13
          17           6         16
          17          16         49
          17          17         21
          17          19         43
          17          21         50
          17          25         27
          17          35         29
          17          36         45
          17          40         19
          17          42          7
          17          43         26
          17          45         19
          17          46         46
          17          47         14
          17          48         31
          17          49         66
          17          50         71
          17          51         62
          17          52        151
          17          53         51
          17          54         21
          17          55         58
          17          56         48
          17          57         61
          17          58         11
          17          59         12
          17          60          5
          17          63         16
          17          65         83
          17          66        177
          17          67         68
          17          68         87
          17          69         78
          17          71         31
          17          75         12
          17          77         40
          17          78        135
          17          89         17
          17          90         36
          17          92         36
          17          98         21
          17         146         22
          17         159         14
          17         163         11
          17         168         23
          17         186         12
          17         197         14
          17         201         10
          17         204         27
          17         210          7
          17         212         10
          17         217         21
          17         218         40
          17         222          7
          17         223         30
          17         228         21
          17         243         53
          17         246         31
          17         259         30
          17         262         31
          17         266          5
          17         267         16
          17         268         15
          17         270         37
          17         292         36
          17         308          9
          17         357         16
          17         443         23
          17         452         48
          17         454          5
          17         481         21
          17         511         16
          17         525         16
          17         529         35
          17         530         28
          17         536         21
          17         538          5
          17         566         13
          17         578         28
          17        1056         15
          17        2004         10
          17        2088         28
          17        2205         18
          17        2239         16
          17        2370         16
          17        2375         14
          17        2395         29
          17        2396         28
          17        2426         23
          17        2451         31
          17        2557         28
          17        3330         21
          17        3342         34
          17        3612         16
          17        3662         14
          17        3690         26
          17        3696         31
          17        3702          5
          17        3709          7
          17        3713         14
          17        3834          8
          17        8888        212
          18           4         19
          18          19         14
          18          21         15
          18          24         56
          18          34         16
          18          36         12
          18          37          7
          18          43         34
          18          45         37
          18          49         32
          18          51         34
          18          53         31
          18          55         52
          18          56         59
          18          57         37
          18          59         11
          18          60         54
          18          65         16
          18          67         51
          18          68         44
          18          71         44
          18          77         15
          18         102         28
          18         116         31
          18         157         17
          18         220         11
          18         224         12
          18         246         12
          18         257         15
          18         258         31
          18         268         13
          18         272         60
          18         388         10
          18         394         21
          18         452         14
          18         484         28
          18         486         21
          18         589         16
          18        2066         11
          18        2111         31
          18        2249         15
          18        2369         15
          18        2394         24
          18        3419          8
          18        3618         19
          18        4024          9
          18        8888        159
          19          21         17
          19          22         26
          19          24         20
          19          25          4
          19          36          3
          19          37         15
          19          38         26
          19          42         14
          19          43         13
          19          47         90
          19          48         25
          19          50         12
          19          51         17
          19          53         22
          19          54         10
          19          55         25
          19          56          5
          19          57          3
          19          59          4
          19          68          9
          19          69         51
          19          72         13
          19          81         14
          19         168         17
          19         195         15
          19         211         22
          19         218         15
          19         270         15
          19         272         15
          19         279          3
          19         314          4
          19         357          3
          19         388         25
          19         481          4
          19         500         14
          19        2114          5
          19        8888         27
          20          21          3
          20          25         18
          20          33         15
          20          35          5
          20          36          4
          20          37          3
          20          38         35
          20          41          5
          20          43         13
          20          46          3
          20          50         10
          20          51          8
          20          52          5
          20          54         11
          20          55         48
